,Код ЕСР,Краткое наименование,Полное наименование,Регион,ЖД,coords,lat,lon
1418,23860,БЕЛЫЙ РАСТ,БЕЛЫЙ РАСТ,Московская область,Московская,,,
1419,23820,ПОВАРОВО II,ПОВАРОВО II,Московская область,Московская,"('56.073513', '37.113779')",56.073513,37.113779
1420,23830,ЯХРОМА,ЯХРОМА,Московская область,Московская,"('56.285153', '37.502992')",56.285153,37.502992
1421,23840,ДМИТРОВ,ДМИТРОВ,Московская область,Московская,"('56.337288', '37.51008')",56.337288,37.51008
1422,23850,КАНАЛСТРОЙ,КАНАЛСТРОЙ,Московская область,Московская,"('56.383582', '37.515421')",56.383582,37.515421
1423,23880,ВЕРБИЛКИ,ВЕРБИЛКИ,Московская область,Московская,"('56.53951', '37.559918')",56.53951,37.559918
1424,23890,СОРЕВНОВАН,СОРЕВНОВАНИЕ,Московская область,Московская,"('56.529114', '37.428267')",56.529114,37.428267
1425,23900,БОЛ-ВОЛГА,БОЛЬШАЯ ВОЛГА,Московская область,Московская,"('56.726246', '37.137056')",56.726246,37.137056
1426,23910,ТАЛДОМ-САВЕЛ,ТАЛДОМ-САВЕЛОВСКИЙ,Московская область,Московская,"('56.721775', '37.527417')",56.721775,37.527417
6558,18280,ФИЛИ-ПЕР,ФИЛИ (ПЕРЕВ.),Город Москва столица Российской Федерации город федерального значения,Московская,"('55.74435', '37.514739')",55.74435,37.514739
6559,20030,МОСКВА-Ю-П-ПЕР,МОСКВА-ЮЖНЫЙ ПОРТ (ПЕРЕВ.),Город Москва столица Российской Федерации город федерального значения,Московская,"('55.664081', '37.720553')",55.664081,37.720553
6560,22300,РЯЗ-ОКА-ПР-П,РЯЗАНЬ-ОКА-ПРИСТАНЬ (ПЕРЕВ.),Рязанская область,Московская,"('54.654442', '39.725546')",54.654442,39.725546
6561,23870,ДМИТРОВ-ПЕР,ДМИТРОВ (ПЕРЕВ.),Московская область,Московская,"('56.341073', '37.512226')",56.341073,37.512226
6562,23920,БОЛ-ВОЛГА-Э,БОЛЬШАЯ ВОЛГА (ЭКСП.),Московская область,Московская,"('56.726246', '37.137056')",56.726246,37.137056
6768,20430,ТРУБЧЕВСК,ТРУБЧЕВСК,Брянская область,Московская,,,
6770,20510,БЕЛ БЕРЕЗКА,БЕЛАЯ БЕРЕЗКА,Калужская область,Московская,,,
